鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前金區,房地(土地+建物),中華三路61~90號,175.0,都市：其他:第五種商業區,,,1091103,土地6建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0640312,575.65,12,1,4,有,無,106375000,184791,,0.0,0,頂樓加蓋;含租約;包含公共設施保留地用地;,RPWOMLRLJHGGFAE18DA,575.65,0.0,0.0,無,
鼓山區,房地(土地+建物),龍勝路151~180號,5.22,都市：其他:第四種商業區,,,1100119,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,54.989999999999995,1,1,1,有,有,4060000,73832,,0.0,0,,RPXOMLRLJHGGFAE28DA,32.19,4.14,0.0,有,0004
前金區,房地(土地+建物),河南二路91~120號,14.34,都市：其他:第五種商業區,,,1091218,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0810704,152.08,3,2,3,有,有,9060000,59574,,0.0,0,,RPQNMLSLJHGGFAE57DA,123.84,16.56,0.0,有,
鼓山區,土地,內惟段七小段811~840地號,53.0,非都市： ; 非都市編定：,,,1100112,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4809750,90750,,0.0,0,,RPTNMLSLJHGGFAE87DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物)+車位,家齊路31~60號,25.04,都市：其他:第三種住宅區。,,,1090927,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090103,174.55,3,2,2,有,有,12500000,68367,坡道平面,16.58,1700000,,RPUOMLPKKIPFFBE78DA,81.89,17.68,0.0,有,
苓雅區,房地(土地+建物),苓雅一路410巷1~30號,68.25,都市：其他:道路用地,,,1091128,土地3建物1車位0,全,二層,透天厝,,加強磚造,0531020,73.82,3,2,2,有,無,9950000,134787,,0.0,0,頂樓加蓋;,RPPOMLOKJHGGFBE17DA,73.82,0.0,0.0,無,
苓雅區,房地(土地+建物)+車位,新光路46巷1~30號,8.13,都市：其他:第三種特定商業專用區,,,1100107,土地1建物1車位1,一層，二層，三層,三十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0860421,198.07,2,2,2,有,有,12000000,60585,坡道平面,14.65,0,,RPPNMLQKJHGGFBE27DA,116.28,19.2,0.0,有,
苓雅區,房地(土地+建物),青年二路1~30號,3.24,都市：其他:第四種商業區,,,1100117,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830929,46.44,1,1,1,有,有,2200000,47373,,0.0,0,,RPOPMLSKJHGGFBE57DA,25.12,7.74,0.0,有,
新興區,房地(土地+建物)+車位,八德一路181~210號,15.56,都市：其他:第四種商業區,,,1091223,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090227,210.5,4,2,2,有,有,14700000,69834,坡道平面,20.12,0,,RPPNMLOLJHGGFBE17DA,100.48,22.26,0.0,有,
苓雅區,房地(土地+建物),自強三路1~30號,0.85,都市：其他:第五種商業區,,,1100120,土地2建物1車位0,二十一層,八十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0880401,50.17,1,1,1,有,有,2500000,49831,,0.0,0,,RPTOMLMLJHGGFBE47DA,32.46,0.0,0.0,有,
新興區,房地(土地+建物),仁愛一街61~90號,6.14,都市：其他:第五種商業區,,,1091011,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091116,82.93,0,0,0,無,有,6860000,82720,,0.0,0,預售屋、或土地及建物分次登記案件;,RPXOMLQLJHGGFBE28DA,46.9,7.36,0.0,有,
新興區,房地(土地+建物),仁愛一街61~90號,7.98,都市：其他:第五種商業區,,,1080329,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091116,107.56,0,0,0,無,有,8260000,76794,,0.0,0,預售屋、或土地及建物分次登記案件;,RPOPMLQLJHGGFBE47DA,56.31,13.94,0.0,有,
新興區,房地(土地+建物)+車位,仁愛一街61~90號,6.77,都市：其他:第五種商業區,,,1081226,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091116,91.15,0,0,0,無,有,8140000,83323,升降機械,8.22,1230000,預售屋、或土地及建物分次登記案件;,RPPPMLQLJHGGFBE57DA,46.9,7.36,0.0,有,
新興區,房地(土地+建物),南臺路121~150號,10.04,都市：其他:第五種商業區,,,1100115,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0731201,128.49,2,1,2,有,有,4600000,35800,,0.0,0,,RPQPMLQLJHGGFBE67DA,0.0,0.0,0.0,有,
苓雅區,車位,民權一路61~90號,0.0,,,,1100120,土地0建物1車位1,,,住宅大樓(11層含以上有電梯),,,,22.11,0,0,0,有,有,1300000,,坡道平面,22.11,1300000,僅車位交易;,RPWNMLQLJHGGFBE08DA,0.0,0.0,0.0,有,0005
苓雅區,房地(土地+建物),武昌路70巷31~60號,38.53,都市：其他:第三種住宅區。,,,1091226,土地6建物1車位0,二層,四層,公寓(5樓含以下無電梯),,加強磚造,0600901,56.55,2,0,2,有,無,2200000,38904,,0.0,0,,RPUOMLRLJHGGFBE08DA,56.55,0.0,0.0,無,0006
苓雅區,土地,正昌段601~630地號,0.85,都市：其他:道路用地,,,1100116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39100,0,,0.0,0,包含公共設施保留地用地;,RPPNMLSLJHGGFBE57DA,0.0,0.0,0.0,無,
苓雅區,土地,正昌段601~630地號,1.09,都市：其他:道路用地,,,1100116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50140,46000,,0.0,0,包含公共設施保留地用地;,RPRNMLSLJHGGFBE77DA,0.0,0.0,0.0,無,
前鎮區,土地,光華段451~480地號,6.0,都市：其他:第四種住宅區,,,1091222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,50000,,0.0,0,畸零地或有合併使用效益;,RPQNMLLKJHGGFCE96DA,0.0,0.0,0.0,無,
小港區,房地(土地+建物),松金街31~60號,22.85,都市：其他:第三種住宅區。,,,1091223,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730611,70.21,3,2,2,有,無,1209128,17222,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWNMLQLJHGGFCE18DA,0.0,0.0,0.0,無,
小港區,車位,港平路1~30號,2.91,都市：其他:第三種商業區,,,1100107,土地1建物1車位1,,,其他,,,,24.93,0,0,0,有,有,1500000,,坡道平面,24.93,1500000,僅車位交易;,RPPNMLRLJHGGFCE57DA,0.0,0.0,0.0,有,
小港區,房地(土地+建物),中船二村1~30號,76.62,都市：其他:第三種住宅區。,,,1091231,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681024,95.93,3,2,2,有,無,2160000,22516,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQOMLRLJHGGFCE77DA,95.93,0.0,0.0,無,0007
小港區,房地(土地+建物),福利路1~30號,135.0,都市：其他:第三種商業區,,,1091204,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0791121,468.85,5,2,5,有,無,12000000,25595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPROMLRLJHGGFCE87DA,463.91,4.94,0.0,無,
小港區,房地(土地+建物),孔宅二街151~180號,76.69,都市：其他:第二種住宅區,,,1091213,土地2建物1車位0,全,三層,透天厝,見其它登記事項,見其它登記事項,1080920,165.11,4,2,3,有,無,11600000,70256,,0.0,0,,RPPPMLRLJHGGFCE77DA,152.1,13.01,0.0,無,
前鎮區,房地(土地+建物),民瑞街1~30號,41.0,都市：其他:第五種住宅區,,,1100115,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0750804,93.83,5,2,3,有,無,7500000,79932,,0.0,0,買賣雙方未訂私契價金部分慢慢分次交付.,RPRNMLSLJHGGFCE87DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物)+車位,通化街1~30號,12.49,都市：其他:第五種住宅區,,,1091122,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1070706,154.34,3,2,2,有,有,12350000,80018,坡道平面,24.27,0,附家電家具,RPPNMLSKKIPFFDE68DA,72.54,11.36,0.0,有,0008
三民區,房地(土地+建物)+車位,堅如路1~30號,20.63,都市：其他:第三種住宅區。,,,1091225,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830512,128.68,3,2,2,有,有,5450000,42353,升降機械,0.0,0,,RPQNMLTLKIPFFDE98DA,87.13,1.86,0.0,有,0009
三民區,房地(土地+建物)+車位,民族一路91~120號,8.11,都市：其他:第三種特定商業專用區,,,1091124,土地1建物1車位1,十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,146.29000000000002,3,2,2,有,有,5850000,39989,坡道機械,0.0,0,,RPSQMLQJJHGGFDE97DA,83.09,15.14,0.0,有,0010
三民區,房地(土地+建物),朝陽街1~30號,64.0,都市：其他:第四種住宅區,,,1090627,土地1建物1車位0,全,五層,透天厝,見其它登記事項,鋼筋混凝土造,1091020,283.5,5,2,4,有,無,24480000,86349,,0.0,0,,RPQQMLKLJHGGFDE37DA,272.37,11.13,0.0,有,
三民區,房地(土地+建物),延吉街1巷31~60號,12.99,都市：其他:第五種住宅區,,,1091228,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671216,29.47,3,2,1,有,無,3000000,101798,,0.0,0,出賣人僅出售1/2持分親友、員工、共有人或其他特殊關係間之交易;,RPRNMLOLJHGGFDE57DA,58.94,0.0,0.0,無,0011
三民區,房地(土地+建物),延吉街1巷31~60號,12.99,都市：其他:第五種住宅區,,,1100103,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671216,29.47,3,2,1,有,無,3000000,101798,,0.0,0,出賣人本件出售1/2持分全數出售親友、員工、共有人或其他特殊關係間之交易;,RPSNMLOLJHGGFDE67DA,29.47,0.0,0.0,無,0011
三民區,房地(土地+建物),三民街151~180號,96.0,都市：其他:第二種特定商業專用區,,,1091230,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0551230,209.97,5,2,4,有,無,25000000,119065,,0.0,0,未登記建物;,RPWOMLQLJHGGFDE38DA,209.97,0.0,0.0,無,
三民區,房地(土地+建物)+車位,建興路419巷1~30號,16.52,都市：其他:第三種商業區,,,1090613,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980710,155.45,3,2,2,有,有,9610000,61821,坡道平面,22.49,0,,RPRPMLQLJHGGFDE97DA,79.04,11.37,0.0,有,
三民區,房地(土地+建物),水源路255巷1~30號,27.54,都市：其他:第三種住宅區。,,,1091124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681012,70.0,3,2,2,有,無,1660000,23714,,0.0,0,,RPVOMLRLJHGGFDE38DA,70.0,0.0,0.0,無,
三民區,房地(土地+建物),水源路255巷1~30號,27.54,都市：其他:第三種住宅區。,,,1091124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681012,68.79,3,2,2,有,無,1650000,23986,,0.0,0,,RPPPMLRLJHGGFDE87DA,68.79,0.0,0.0,無,
三民區,房地(土地+建物),水源路255巷1~30號,26.6,都市：其他:第三種住宅區。,,,1091124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681012,68.79,3,2,2,有,無,1650000,23986,,0.0,0,,RPWPMLRLJHGGFDE58DA,68.79,0.0,0.0,無,
三民區,房地(土地+建物),金山路361~390號,64.0,都市：其他:第三種住宅區。,,,1091226,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0760320,173.22,5,2,6,有,無,15900000,91791,,0.0,0,1~3樓屋後增建頂樓增建其他增建;,RPPQMLRLJHGGFDE97DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),中華三路272巷1~30號,48.0,都市：其他:道路用地,,,1091021,土地2建物1車位0,全,三層,透天厝,住商用,加強磚造,0541201,102.88,3,1,3,有,無,6000000,58320,,0.0,0,,RPUQMLRLJHGGFDE48DA,102.88,0.0,0.0,無,
三民區,房地(土地+建物),熱河二街301~330號,802.0,都市：其他:乙種工業區,,,1091026,土地4建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0691129,896.76,0,0,0,無,無,99461900,110913,,0.0,0,,RPVQMLRLJHGGFDE58DA,896.76,0.0,0.0,無,0013
三民區,房地(土地+建物),愛國路91~120號,4.5,都市：其他:第三種住宅區。,,,1100118,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,21.950000000000003,1,1,1,有,有,1180000,53759,,0.0,0,含裝潢費;含傢俱設備費;,RPUNMLSLJHGGFDE28DA,10.2,2.03,0.0,有,
三民區,房地(土地+建物)+車位,民族一路543巷1~30號,17.41,都市：其他:第五種住宅區,,,1091216,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031217,151.65,3,2,2,有,有,9230000,60864,坡道平面,21.89,0,親友、員工、共有人或其他特殊關係間之交易;,RPWNMLSLJHGGFDE48DA,75.96,8.38,0.0,有,0014
三民區,房地(土地+建物),河北二路91~120號,18.75,都市：其他:第四種商業區,,,1091231,土地1建物1車位0,八層，電梯樓梯間,八層,華廈(10層含以下有電梯),,鋼筋混凝土造,0800409,132.06,3,2,2,有,無,5320000,40285,,0.0,0,,RPRPMLSLJHGGFDE18DA,0.0,0.0,0.0,有,0015
三民區,房地(土地+建物)+車位,鼎金中街42巷1~30號,27.77,都市：其他:第三種住宅區。,,,1091213,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040825,139.82999999999998,2,2,2,有,有,6200000,44340,坡道平面,36.48,0,,RPOPMLSLJHGGFDE87DA,56.81,9.11,0.0,有,0016
楠梓區,房地(土地+建物),壽民路181~210號,25.85,都市：其他:第三種住宅區。,,,1091220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700127,105.92,3,2,2,有,無,4300000,40597,,0.0,0,,RPRNMLMLKIPFFEE48DA,0.0,0.0,0.0,無,0017
左營區,車位,文智路121~150號,6.21,都市：其他:第三種住宅區。,,,1091211,土地1建物1車位1,,,其他,,,,28.55,0,0,0,有,無,2000000,,坡道平面,28.55,0,僅車位交易;,RPPOMLMLKIPFFEE38DA,0.0,0.0,0.0,無,
楠梓區,房地(土地+建物),土庫二路210巷1~30號,82.01,都市：其他:第三種住宅區。,,,1091222,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0991230,212.05,7,2,4,有,無,13000000,61306,,0.0,0,,RPUNMLOLKIPFFEE98DA,187.01,25.04,0.0,無,
左營區,房地(土地+建物)+車位,文強路211~240號,15.52,都市：其他:第五種住宅區,,,1091202,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0930701,131.06,3,2,2,有,有,8400000,64093,坡道平面,22.54,0,,RPORMLRJJHGGFEE87DA,71.98,6.1,0.0,有,0018
楠梓區,房地(土地+建物),德祥路151~180號,82.0,都市：其他:第五種住宅區,,,1091206,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0950801,207.3,5,2,6,有,無,23000000,110950,,0.0,0,其他增建;,RPVOMLMKJHGGFEE87DA,362.27,52.88,0.0,無,
楠梓區,房地(土地+建物),德祥路151~180號,83.0,都市：其他:第五種住宅區,,,1091206,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0950801,207.85,5,2,6,有,無,23000000,110657,,0.0,0,其他增建;,RPXOMLMKJHGGFEE08DA,181.41,26.44,0.0,無,
楠梓區,房地(土地+建物)+車位,德富街271~300號,29.92,都市：其他:第三種住宅區。,,,1091217,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040709,186.47,4,2,2,有,有,10000000,53628,坡道平面,13.5,0,,RPUOMLTKJHGGFEE48DA,96.08,18.68,0.0,有,0019
楠梓區,房地(土地+建物)+車位,興西路121~150號,12.29,都市：其他:第三種商業區,,,1091231,土地1建物1車位1,七層,二十二層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070105,147.35000000000002,3,2,2,有,有,6580000,44656,坡道機械,18.35,0,,RPQNMLKLJHGGFEE17DA,73.07,7.27,0.0,有,
楠梓區,房地(土地+建物),寶溪南街151~180號,80.37,都市：其他:住宅區,,,1091204,土地1建物1車位0,全,五層,透天厝,見其它登記事項,見其它登記事項,1090610,205.4,5,2,4,有,無,15500000,75463,,0.0,0,,RPOQMLKLJHGGFEE27DA,181.44,23.96,0.0,無,
楠梓區,土地,藍田西段六小段1~30地號,8.25,都市：其他:第二種住宅區,,,1091115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375000,45455,,0.0,0,,RPQRMLKLJHGGFEE57DA,0.0,0.0,0.0,無,
楠梓區,房地(土地+建物),智昌街601~630號,82.72,都市：其他:第三種住宅區。,,,1100108,土地1建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1090914,207.51,5,2,4,有,無,14400000,69394,,0.0,0,,RPSRMLMLJHGGFEE97DA,190.65,16.86,0.0,無,
楠梓區,房地(土地+建物),智昌街601~630號,82.98,都市：其他:第三種住宅區。,,,1100105,土地1建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1090914,207.67,5,2,4,有,無,16100000,77527,,0.0,0,含裝潢費;,RPOTMLMLJHGGFEE77DA,190.81,16.86,0.0,無,
楠梓區,房地(土地+建物),啟昌街616巷1~30號,87.3,都市：其他:第三種住宅區。,,,1100104,土地2建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1090914,190.25,4,2,4,有,有,13880000,72957,,0.0,0,含裝潢費;,RPRNMLNLJHGGFEE57DA,190.25,0.0,0.0,無,
楠梓區,房地(土地+建物),樂群路1~30號,13.83,都市：其他:第五種住宅區,,,1100113,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840626,148.48000000000002,4,2,2,有,有,5100000,34348,,0.0,0,,RPXNMLPLJHGGFEE38DA,107.9,11.0,0.0,有,
楠梓區,房地(土地+建物)+車位,壽民路142巷1~30號,14.13,都市：其他:第五種住宅區,,,1091217,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870710,150.7,3,2,2,有,有,6000000,39814,坡道機械,7.43,0,,RPQRMLQLJHGGFEE18DA,96.07,11.25,0.0,有,0020
楠梓區,土地,藍田西段六小段1~30地號,324.0,都市：其他:第二種住宅區,,,1091115,土地3建物0車位0,,,其他,,,,0.0,4,1,2,有,無,20550000,63426,,0.0,0,未登記建物;未登記建物;,RPRRMLQLJHGGFEE28DA,0.0,0.0,0.0,無,0021
