鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),四川路一段61~90號,3.4,都市：其他:商業區,,,1100107,土地1建物1車位0,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,52.879999999999995,0,0,0,無,無,9170000,173411,,0.0,0,含裝潢費600000元;,RPSPMLTKJHGGFAF08DA,26.96,1.04,4.43,有,
板橋區,房地(土地+建物),四川路一段61~90號,3.4,都市：其他:商業區,,,1100107,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,52.879999999999995,0,0,0,無,無,8570000,162065,,0.0,0,,RPVPMLTKJHGGFAF38DA,26.96,1.04,4.43,有,
板橋區,房地(土地+建物),民生路三段301~330號,1.67,都市：其他:住宅區,,,1091222,土地1建物1車位0,二十六層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,50.2,1,1,1,有,有,7560000,150598,,0.0,0,陽台外推;夾層;其他增建;,RPUPMLKLJHGGFAF47DA,33.82,0.0,2.81,有,0005
土城區,房地(土地+建物),學府路一段151~180號,29.01,都市：其他:第二種住宅區,,,1100103,土地1建物1車位0,五層，見使用執照,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780504,157.87,2,3,2,有,有,14150000,89631,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPQRMLLLJHGGFAF37DA,125.61,0.2,12.65,無,0006
板橋區,房地(土地+建物)+車位,民族路225巷31~60號,19.23,都市：其他:住宅區,,,1090613,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090616,182.12,3,2,2,有,有,21900000,163987,升降機械,58.33,1600000,,RPSRMLLLJHGGFAF57DA,70.92,5.8,4.26,有,
土城區,房地(土地+建物)+車位,中央路三段151~180號,10.01,都市：其他:高速公路用地,,,1100108,土地4建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940120,90.07,2,1,1,有,有,8200000,91040,坡道機械,19.86,0,,RPXPMLLLJHGGFAF87DA,41.96,0.0,6.92,有,0007
板橋區,房地(土地+建物),貴興路31~60號,19.36,都市：其他:住宅區,,,1091228,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.49,3,2,2,有,無,11880000,114794,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUSMLLLJHGGFAF87DA,86.27,0.0,9.51,有,
板橋區,房地(土地+建物)+車位,永翠路91~120號,10.85,都市：其他:第二種住宅區,,,1100103,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090420,94.56,2,1,1,有,有,11450000,121087,坡道平面,27.04,0,,RPORMLMLJHGGFAF27DA,38.76,2.27,4.06,有,
土城區,房地(土地+建物),明德路一段181~210號,5.67,都市：其他:第一種住宅區,,,1091226,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820906,40.99,1,0,1,有,無,4200000,102464,,0.0,0,陽台外推;,RPRSMLMLJHGGFAF67DA,29.93,0.0,4.89,有,0008
板橋區,房地(土地+建物)+車位,民族路225巷31~60號,20.68,都市：其他:住宅區,,,1091031,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090521,161.6,3,2,2,有,有,23880000,156950,升降機械,18.37,1400000,,RPPTMLMLJHGGFAF57DA,76.19,6.07,4.52,有,
板橋區,車位,新海路31~60號,0.86,都市：其他:住宅區,,,1100109,土地1建物1車位1,,,其他,,,,29.8,0,0,0,有,無,2000000,,坡道平面,29.8,2000000,僅車位交易;,RPUNMLQLJHGGFAF87DA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物)+車位,新海路31~60號,28.78,都市：其他:住宅區,,,1091215,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,228.48000000000002,4,2,2,有,有,32660000,142945,坡道平面,34.29,0,,RPVNMLQLJHGGFAF97DA,124.0,0.0,12.84,有,
板橋區,房地(土地+建物),四維路151~180號,10.12,都市：其他:住宅區,,,1100120,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,37.89,2,1,1,有,無,4170000,110055,,0.0,0,陽台外推;頂樓加蓋;,RPQRMLQLJHGGFAF87DA,37.89,0.0,0.0,無,
土城區,房地(土地+建物),民安街1~30號,22.61,都市：其他:住宅區,,,1080102,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090917,74.95,2,1,1,有,有,6880000,91795,,0.0,0,,RPPPMLRLJHGGFAF67DA,45.62,0.0,3.26,有,
土城區,房地(土地+建物),民安街1~30號,19.46,都市：其他:住宅區,,,1080103,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090917,64.55000000000001,2,1,1,有,有,6060000,93881,,0.0,0,,RPWPMLRLJHGGFAF38DA,38.57,0.0,3.52,有,
土城區,房地(土地+建物),明德路二段31~60號,6.94,都市：其他:第二種住宅區,,,1091228,土地3建物1車位0,二十層,二十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0870221,81.64,2,2,1,有,有,11450000,140250,,0.0,0,陽台外推;,RPXPMLRLJHGGFAF48DA,49.48,0.27,8.79,有,
板橋區,房地(土地+建物)+車位,文化路二段421~450號,10.07,都市：其他:住宅區,,,1100112,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901130,69.22,1,1,1,有,有,11230000,162236,升降機械,13.92,0,夾層;,RPVQMLRLJHGGFAF38DA,31.44,0.81,3.74,有,0009
板橋區,房地(土地+建物)+車位,中山路一段151~180號,20.58,都市：其他:第二種特定專用區,,,1091107,土地1建物1車位1,十三層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0991217,290.21000000000004,3,2,2,有,有,59800000,206058,坡道平面,36.52,0,其他增建;,RPRRMLRLJHGGFAF08DA,151.08,0.0,22.97,有,0010
板橋區,土地,港子嘴段241~270地號,3.94,都市：其他:道路用地,,,1091122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,91371,,0.0,0,包含公共設施保留地用地;,RPORMLSLJHGGFAF87DA,0.0,0.0,0.0,無,0011
板橋區,土地,港子嘴段241~270地號,2.62,都市：其他:道路用地,,,1091122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,137405,,0.0,0,包含公共設施保留地用地;,RPPRMLSLJHGGFAF97DA,0.0,0.0,0.0,無,0011
板橋區,房地(土地+建物),四川路一段61~90號,4.08,都市：其他:商業區,,,1090826,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,63.510000000000005,2,1,1,有,無,11200000,176350,,0.0,0,,RPVOMLLJKHGGFAF47DA,33.71,1.27,3.97,有,
