"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積(平方公尺)","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號"
"北區","房地(土地+建物)+車位","梅川西路四段211~240號","13.29","都市：其他:第二種住宅區","","","1100103","土地1建物1車位1","十二層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0871106","149.94","3","2","2","有","有","9400000","62692","坡道平面","28.36","0","","RPXRMLOJKHGGFBB97DA","80.83","0.0","9.2","有",""
"北屯區","房地(土地+建物)+車位","梅川東路四段121~150號","8.2","都市：其他:第二種住宅區","","","1091224","土地1建物1車位1","五層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0831103","103.41","2","2","2","有","有","4590000","44386","升降機械","0.0","0","","RPTRMLNJKHGGFBB47DA","55.27","2.74","5.57","有",""
"沙鹿區","房地(土地+建物)+車位","向上路七段31~60號","17.0","都市：其他:第二種商業區","","","1091125","土地1建物1車位1","四層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0880913","119.5","3","2","2","有","有","5400000","45188","坡道機械","0.0","0","","RPPTMLRKKIPFFFB09DA","72.68","9.44","0.0","有",""
"鼓山區","房地(土地+建物)","美術北三路211~240號","8.21","都市：其他:特定第四種商業區","","","1091115","土地1建物1車位0","十五層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0951030","81.35","2","2","1","有","有","5500000","67609","","0.0","0","","RPPNMLPKJIPFFAE97DA","52.25","4.07","0.0","有",""
"鼓山區","房地(土地+建物)","美術東六街181~210號","16.03","都市：其他:第三種特定商業專用區","","","1100101","土地1建物1車位0","五層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0941129","127.3","3","2","2","有","有","8000000","62844","","0.0","0","","RPPNMLLJJHGGFAE56DA","74.5","14.52","0.0","有",""
"前金區","房地(土地+建物)+車位","民生二路121~150號","13.81","都市：其他:第五種商業區","","","1100102","土地2建物1車位1","十層","14","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","0901016","197.32","3","2","2","有","有","13200000","66896","坡道平面","25.86","0","","RPUNMLPJJHGGFAE47DA","106.54","14.44","0.0","有",""
"鼓山區","房地(土地+建物)+車位","美術東二路451~480號","22.78","都市：其他:特定第五種住宅區","","","1091210","土地1建物1車位1","二層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0931208","162.11","3","2","2","有","有","8300000","51200","坡道平面","34.54","0","親友、員工、共有人或其他特殊關係間之交易;","RPXOMLRJJHGGFAE08DA","82.05","9.69","0.0","有","1.0"
"鼓山區","房地(土地+建物)+車位","美術館路271~300號","18.45","都市：其他:特定第五種住宅區","","","1100118","土地1建物1車位1","八層","20","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0940831","162.07","3","2","2","有","有","12800000","78978","坡道平面","29.57","0","","RPXNMLPLJHGGFAE97DA","82.24","12.34","0.0","有",""
"鼓山區","房地(土地+建物)+車位","美術館路271~300號","18.66","都市：其他:特定第五種住宅區","","","1091221","土地1建物1車位1","十四層","20","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0940831","163.58999999999997","3","2","2","有","有","14100000","86191","坡道平面","29.57","0","","RPPPMLQLJHGGFAE47DA","86.23","7.59","0.0","有","3.0"
"鼓山區","房地(土地+建物)","龍勝路151~180號","5.22","都市：其他:第四種商業區","","","1100119","土地1建物1車位0","十四層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0950809","54.989999999999995","1","1","1","有","有","4060000","73832","","0.0","0","","RPXOMLRLJHGGFAE28DA","32.19","4.14","0.0","有","4.0"
"三民區","房地(土地+建物)+車位","民族一路91~120號","8.11","都市：其他:第三種特定商業專用區","","","1091124","土地1建物1車位1","十五層","26","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0841219","146.29000000000002","3","2","2","有","有","5850000","39989","坡道機械","0.0","0","","RPSQMLQJJHGGFDE97DA","83.09","15.14","0.0","有","10.0"
"三民區","房地(土地+建物)+車位","建興路419巷1~30號","16.52","都市：其他:第三種商業區","","","1090613","土地1建物1車位1","四層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0980710","155.45","3","2","2","有","有","9610000","61821","坡道平面","22.49","0","","RPRPMLQLJHGGFDE97DA","79.04","11.37","0.0","有",""
"三民區","房地(土地+建物)+車位","民族一路543巷1~30號","17.41","都市：其他:第五種住宅區","","","1091216","土地1建物1車位1","十四層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1031217","151.65","3","2","2","有","有","9230000","60864","坡道平面","21.89","0","親友、員工、共有人或其他特殊關係間之交易;","RPWNMLSLJHGGFDE48DA","75.96","8.38","0.0","有","14.0"
"左營區","房地(土地+建物)+車位","文強路211~240號","15.52","都市：其他:第五種住宅區","","","1091202","土地1建物1車位1","六層","14","住宅大樓(11層含以上有電梯)","住家用","見其它登記事項","0930701","131.06","3","2","2","有","有","8400000","64093","坡道平面","22.54","0","","RPORMLRJJHGGFEE87DA","71.98","6.1","0.0","有","18.0"
"楠梓區","房地(土地+建物)","樂群路1~30號","13.83","都市：其他:第五種住宅區","","","1100113","土地1建物1車位0","十四層","17","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840626","148.48000000000002","4","2","2","有","有","5100000","34348","","0.0","0","","RPXNMLPLJHGGFEE38DA","107.9","11.0","0.0","有",""
"楠梓區","房地(土地+建物)+車位","壽民路142巷1~30號","14.13","都市：其他:第五種住宅區","","","1091217","土地1建物1車位1","六層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0870710","150.7","3","2","2","有","有","6000000","39814","坡道機械","7.43","0","","RPQRMLQLJHGGFEE18DA","96.07","11.25","0.0","有","20.0"
"左營區","房地(土地+建物)+車位","新榮街121~150號","26.61","都市：其他:第五種住宅區","","","1091230","土地1建物1車位2","十四層","28","住宅大樓(11層含以上有電梯)","住家用","見其它登記事項","1030704","317.19","0","0","0","無","有","25300000","79763","坡道平面","0.0","0","","RPWOMLSLJHGGFEE68DA","148.42","19.56","0.0","有","23.0"
"岡山區","房地(土地+建物)+車位","勵志二路61~90號","34.48","都市：其他:住宅區","","","1091227","土地1建物1車位1","十層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0950512","173.74","3","2","2","有","有","7200000","41441","坡道平面","0.0","0","","RPWNMLQLJHGGFFE48DA","95.75","13.13","0.0","有","27.0"
"鳳山區","房地(土地+建物)","杭州西街91~120號","11.34","都市：其他:第三之一種住宅區","","","1100103","土地1建物1車位0","十一層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840426","95.16","3","2","2","有","有","3700000","38882","","0.0","0","","RPSPMLQLJHGGFGE38DA","66.24","0.0","7.62","有",""
"大樹區","房地(土地+建物)+車位","新路61~90號","13.41","都市：其他:住宅區","","","1100102","土地1建物1車位1","十二層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0841211","130.27","4","2","2","有","有","3420000","26253","其他","0.0","0","","RPSPMLRLJHGGFGE48DA","81.79","0.0","11.86","有","34.0"
"鼓山區","房地(土地+建物)+車位","美術東二路481~510號","22.78","都市：其他:特定第五種住宅區","","","1100115","土地1建物1車位1","五層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0931208","162.11","3","1","2","有","有","8000000","49349","坡道平面","34.54","0","","RPVNMLTLJHGGFAE28EA","82.05","9.69","0.0","有",""
"三民區","房地(土地+建物)+車位","興昌街61~90號","19.6","都市：其他:第三種住宅區。","","","1100105","土地1建物1車位1","十層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0820116","125.61999999999999","3","2","2","有","有","5980000","47604","坡道平面","0.0","0","","RPPNMLSLJHGGFDE87EA","74.75","10.46","0.0","有",""
"三民區","房地(土地+建物)","興昌街1~30號","15.22","都市：其他:第三種住宅區。","","","1100119","土地1建物1車位0","四層，電梯樓梯間","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830309","111.30999999999999","3","2","2","有","有","4800000","43123","","0.0","0","親友、員工、共有人或其他特殊關係間之交易;","RPQNMLSLJHGGFDE97EA","88.58","13.74","0.0","有",""
"仁武區","房地(土地+建物)+車位","仁雄路91~120號","23.23","都市：其他:第二種住宅區","","","1100113","土地1建物1車位1","十一層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0930609","109.19","1","1","1","有","有","4500000","41213","坡道平面","0.0","0","","RPOOMLSLJHGGFIE38EA","60.61","7.63","0.0","有",""
"楠梓區","房地(土地+建物)+車位","鳳楠路91~120號","18.19","都市：其他:第五種住宅區","","","1100112","土地1建物1車位1","十五層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1021028","156.24","3","2","2","有","有","8730000","52549","坡道平面","15.8","1350000","","RPQSMLTLJHGGFEE68EA","81.67","12.19","0.0","有","50.0"
"林園區","房地(土地+建物)","頂厝路130巷1~30號","7.61","都市：其他:商業區","","","1100110","土地1建物1車位0","十一層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0831128","82.91","2","2","2","有","有","1680000","20263","","0.0","0","","RPUPMLPLJHGGFLE98DA","61.44","0.0","4.33","有","53.0"
"大寮區","房地(土地+建物)+車位","正氣路61~90號","11.3","都市：其他:第二種住宅區","","","1100118","土地1建物1車位1","十三層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0850520","97.97999999999999","2","1","2","有","有","2900000","29598","坡道平面","0.0","0","陽台外推;","RPSOMLSKJHGGFLE88DA","49.18","0.0","8.15","有",""
"左營區","房地(土地+建物)","新莊一路31~60號","11.35","都市：其他:第五種住宅區","","","1091221","土地1建物1車位0","十七層","22","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840825","143.37","4","2","2","有","有","6950000","48476","","0.0","0","","RPTRMLTLJHGGFEE78DA","94.99","12.19","0.0","有",""
"左營區","房地(土地+建物)","明華一路211~240號","6.48","都市：其他:第四種商業區","","","1100119","土地1建物1車位0","十六層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830530","66.33","2","1","1","有","有","4000000","60305","","0.0","0","","RPOSMLTLJHGGFEE38DA","43.25","5.73","0.0","有","72.0"
"左營區","房地(土地+建物)+車位","文慈路271~300號","14.03","都市：其他:第三種住宅區。","","","1091225","土地1建物1車位1","九層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840511","149.53","3","2","2","有","有","6500000","43470","坡道平面","0.0","0","房客買房東的房子","RPPOMLLJKHGGFEE17DA","89.27","12.66","0.0","有",""
"左營區","房地(土地+建物)+車位","自勉路121~150號","25.51","都市：其他:第五種住宅區","","","1091129","土地1建物2車位1","十層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0970108","220.88","4","2","2","有","有","10800000","48895","坡道平面","23.16","0","附裝潢","RPVOMLSLJHGGFEE58DA","118.91","20.09","0.0","有",""
"左營區","房地(土地+建物)","重上街31~60號","7.26","都市：其他:第四種商業區","","","1091007","土地1建物1車位0","十一層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0940202","81.65","2","2","1","有","有","5300000","64911","","0.0","0","","RPPOMLRJIIPFFEE48DA","50.87","6.39","0.0","有","82.0"
"三民區","房地(土地+建物)","鼎義街91~120號","15.7","都市：其他:第四種住宅區","","","1091211","土地1建物1車位0","十三層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0900308","105.49","2","2","1","有","有","5100000","48346","","0.0","0","附家電家具","RPQOMLSLJHGGFDE97DA","65.14","9.13","0.0","有","83.0"
"三民區","房地(土地+建物)","鼎正街1~30號","22.45","都市：其他:第三種住宅區。","","","1091227","土地1建物1車位0","十三層，電梯樓梯間","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830208","141.51","4","2","2","有","有","4200000","29680","","0.0","0","","RPRNMLSLJHGGFDE97DA","80.62","43.12","0.0","有",""
"三民區","房地(土地+建物)","鼎愛街1~30號","17.58","都市：其他:第四種住宅區","","","1100119","土地1建物1車位0","四層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0901130","113.22","3","2","2","有","有","5300000","46812","","0.0","0","","RPOQMLRLJHGGFDE87DA","70.46","10.55","0.0","有",""
"三民區","房地(土地+建物)","建國三路1~30號","1.94","都市：其他:第四種商業區","","","1091214","土地1建物1車位0","二十一層，走廊","21","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840615","34.230000000000004","1","0","1","有","有","1500000","43821","","0.0","0","","RPXOMLQLJHGGFDE48DA","22.35","1.38","0.0","有",""
"三民區","房地(土地+建物)+車位","覺民路285巷1~30號","10.71","都市：其他:第三種特定商業專用區","","","1100117","土地2建物1車位1","七層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1040813","105.55000000000001","2","1","1","有","有","5660000","53624","坡道平面","25.92","0","附裝潢及家電","RPSPMLPLJHGGFDE97DA","44.4","7.38","0.0","有","86.0"
"三民區","房地(土地+建物)+車位","金鼎路61~90號","15.3","都市：其他:第四種住宅區","","","1091207","土地1建物1車位1","九層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0871123","159.16","3","2","2","有","有","7255000","45583","坡道平面","23.1","0","","RPRPMLTKJHGGFDE18DA","87.21","17.31","0.0","有",""
"三民區","房地(土地+建物)","鼎華路151~180號","9.73","都市：其他:道","","","1100109","土地2建物1車位0","六層","17","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830930","107.32","3","2","2","有","有","4750000","44260","","0.0","0","包含公共設施保留地用地;","RPPOMLKLJHGGFDE07DA","67.49","14.11","0.0","有","89.0"
"三民區","房地(土地+建物)","大豐二路91~120號","9.35","都市：其他:第五種住宅區","","","1091213","土地1建物1車位0","十二層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0941202","83.72","2","2","1","有","有","4550000","54348","","0.0","0","","RPWPMLPJJHGGFDE18DA","51.56","9.59","0.0","有",""
"前鎮區","房地(土地+建物)+車位","二聖一路61~90號","20.96","都市：其他:第四種住宅區","","","1091223","土地1建物1車位1","十五層","15","住宅大樓(11層含以上有電梯)","住家用","見其它登記事項","1000511","156.82","3","2","2","有","有","9900000","59439","坡道機械","8.77","1100000","","RPQPMLSLJHGGFCE97DA","84.21","14.43","0.0","有","94.0"
"前鎮區","房地(土地+建物)+車位","和平二路227巷1~30號","12.38","都市：其他:第四種商業區","","","1090707","土地1建物1車位1","十一層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0960621","150.48","4","2","2","有","有","8000000","53163","坡道平面","29.6","0","","RPROMLSLJHGGFCE97DA","71.67","13.6","0.0","有",""
"前鎮區","房地(土地+建物)","新光路1~30號","0.85","都市：其他:第三種特定商業專用區","","","1091230","土地2建物1車位0","三十二層","39","住宅大樓(11層含以上有電梯)","住家用","見其它登記事項","0880209","41.25","1","1","1","有","有","2600000","63030","","0.0","0","","RPVNMLKLJHGGFCE47DA","25.02","3.24","0.0","有","96.0"
"前金區","房地(土地+建物)","中山橫路121~150號","6.98","都市：其他:第四種商業區","","","1100110","土地1建物1車位0","十五層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0980217","79.28","2","2","1","有","有","5100000","64329","","0.0","0","附家具家電裝潢","RPOPMLRLJHGGFAE47DA","43.49","8.15","0.0","有","99.0"
"鼓山區","房地(土地+建物)+車位","龍水二路91~120號","27.15","都市：其他:特定第五種住宅區","","","1091227","土地1建物1車位2","十六層","24","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1040513","307.75","4","2","3","有","有","23900000","77660","坡道平面","39.78","0","土地交易價格8763764元整；建物交易價格15136236元整","RPTNMLTLJHGGFAE97DA","160.85","14.24","0.0","有","100.0"
"鼓山區","房地(土地+建物)+車位","美術北五街91~120號","19.89","都市：其他:特定第五種住宅區","","","1091219","土地1建物1車位1","三層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1001004","201.73000000000002","4","2","2","有","有","15000000","74357","坡道平面","13.81","0","","RPPOMLQLJHGGFAE37DA","109.08","17.48","0.0","有",""
"前金區","房地(土地+建物)","允文街31~60號","4.49","都市：其他:第五種商業區","","","1091208","土地1建物1車位0","四層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0940624","58.160000000000004","2","1","1","有","有","3010000","51754","","0.0","0","","RPUNMLOKJHGGFAE47DA","35.81","0.0","0.0","有",""
"前金區","房地(土地+建物)+車位","新盛二街61~90號","11.67","都市：其他:第三種商業區","","","1100108","土地1建物1車位1","五層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0950303","113.53999999999999","2","1","1","有","有","7500000","66056","坡道機械","11.24","0","","RPSNMLMKJHGGFAE07DA","58.68","8.63","0.0","有","103.0"
"鼓山區","房地(土地+建物)+車位","美術東三路31~60號","17.91","都市：其他:第五種住宅區","","","1091217","土地1建物1車位1","七層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0940531","144.27","3","2","2","有","有","9500000","65849","坡道機械","15.88","0","","RPQNMLQLKIPFFAE38DA","81.31","8.61","0.0","有",""
"鼓山區","房地(土地+建物)+車位","龍勝路121~150號","11.07","都市：其他:第四種商業區","","","1091120","土地1建物1車位1","三層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0950809","107.13","2","2","2","有","有","7500000","76068","坡道機械","11.82","250000","","RPRNMLPKJHGGFAE27DA","61.13","4.49","0.0","有","104.0"
"鼓山區","房地(土地+建物)+車位","神農路151~180號","12.62","都市：其他:第四種商業區","","","1091125","土地1建物1車位1","十八層","24","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0970826","149.49","3","2","2","有","有","10000000","66894","坡道機械","6.65","0","","RPWNMLTLJHGGFAE28DA","85.48","15.5","0.0","有","107.0"
