鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東勢區,土地,東勢段石角小段121~150地號,983.0,,特定農業區,農牧用地,1100105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,4171,,0.0,0,,RPUNMLLJKHGGFGB47DA,0.0,0.0,0.0,無,
和平區,土地,南勢段1561~1590地號,1415.0,,山坡地保育區,農牧用地,1091111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,7067,,0.0,0,,RPWNMLLJKHGGFGB67DA,0.0,0.0,0.0,無,
新社區,土地,七分段七分小段451~480地號,2740.0,,山坡地保育區,農牧用地,1091104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1387,,0.0,0,,RPPNMLNJKHGGFGB17DA,0.0,0.0,0.0,無,0215
潭子區,房地(土地+建物),復興路一段1~30號,16.48,都市：其他:住宅區,,,1100110,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840312,101.85,3,2,2,有,有,5300000,52037,,0.0,0,,RPSOMLOKJHGGFHB77DA,71.96,11.6,0.0,有,
潭子區,房地(土地+建物)+車位,弘智街39巷31~60號,21.95,都市：其他:住宅區,,,1091229,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090831,113.06,2,2,1,有,有,7600000,67221,坡道平面,30.94,0,,RPWNMLLMKIPFFHB98DA,48.75,5.92,0.0,有,0216
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8360000,61614,坡道平面,34.45,1100000,預售屋、或土地及建物分次登記案件;,RPQONLQLKIPFFHB98DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,186.73000000000002,3,2,2,有,無,9660000,59068,坡道平面,68.9,2700000,預售屋、或土地及建物分次登記案件;,RPQPNLQLKIPFFHB09DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,20.32,都市：其他:住宅區,,,1080111,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,125.9,2,1,1,有,無,6980000,63751,坡道平面,34.45,1150000,預售屋、或土地及建物分次登記案件;,RPSPNLQLKIPFFHB66DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,20.32,都市：其他:住宅區,,,1080413,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,125.9,2,1,1,有,無,6680000,61564,坡道平面,34.45,1050000,預售屋、或土地及建物分次登記案件;,RPOSNLQLKIPFFHB56DA,54.08,6.51,0.0,有,
潭子區,房地(土地+建物),和平路69巷31~60號,18.19,都市：其他:住宅區,,,1091218,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810306,108.33,3,1,1,有,有,4500000,41540,,0.0,0,,RPSNMLSLKIPFFHB56DA,70.24,6.33,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,19.95,都市：其他:住宅區,,,1080105,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,160.35000000000002,2,1,1,有,無,7880000,61017,坡道平面,68.9,2300000,預售屋、或土地及建物分次登記案件;,RPSOMLQLKIPFFHB09DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080107,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8250000,60256,坡道平面,34.45,1150000,,RPPPMLQLKIPFFHB88DA,69.66,8.42,0.0,,
大雅區,房地(土地+建物)+車位,楓林街181~210號,19.95,都市：其他:住宅區,,,1080418,土地1建物1車位3,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,194.8,2,1,1,有,無,9000000,61782,坡道平面,103.35,3350000,預售屋、或土地及建物分次登記案件;,RPUPMLQLKIPFFHB76DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8230000,59238,坡道平面,34.45,1250000,預售屋、或土地及建物分次登記案件;,RPWPMLQLKIPFFHB96DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,19.95,都市：其他:住宅區,,,1080413,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,125.9,2,1,1,有,無,6880000,63204,坡道平面,34.45,1100000,預售屋、或土地及建物分次登記案件;,RPUQMLQLKIPFFHB86DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8500000,61529,坡道平面,34.45,1250000,預售屋、或土地及建物分次登記案件;,RPWQMLQLKIPFFHB07DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,186.73000000000002,3,2,2,有,無,9860000,60766,坡道平面,68.9,2700000,預售屋、或土地及建物分次登記案件;,RPQRMLQLKIPFFHB56DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080103,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8280000,60087,坡道平面,34.45,1200000,預售屋、或土地及建物分次登記案件;,RPOSMLQLKIPFFHB09DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,19.95,都市：其他:住宅區,,,1080428,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,125.9,2,1,1,有,無,7130000,63204,坡道平面,34.45,1350000,預售屋、或土地及建物分次登記案件;,RPQSMLQLKIPFFHB66DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8410000,62039,坡道平面,34.45,1100000,預售屋、或土地及建物分次登記案件;,RPRSMLQLKIPFFHB76DA,69.66,8.42,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,19.95,都市：其他:住宅區,,,1080414,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,125.9,2,1,1,有,無,7000000,64516,坡道平面,34.45,1100000,預售屋、或土地及建物分次登記案件;,RPUSMLQLKIPFFHB07DA,54.08,6.51,0.0,有,
大雅區,房地(土地+建物)+車位,楓林街181~210號,25.86,都市：其他:住宅區,,,1080105,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208,152.28,3,2,2,有,無,8350000,61954,坡道平面,34.45,1050000,預售屋、或土地及建物分次登記案件;,RPTTMLQLKIPFFHB07DA,69.66,8.42,0.0,有,
