"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積(平方公尺)","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號"
"桃園區","房地(土地+建物)+車位","國強二街277巷6弄1~30號","107.36","都市：其他:第二種住宅區","","","1091125","土地1建物1車位1","全","五層","透天厝","見其他登記事項","鋼筋混凝土造","0850715","330.52","4","2","3","有","有","16500000","49921","坡道平面","0.0","0","","RPXPMLLLJHGGFAH18EA","293.36","12.57","4.0","有",""
"桃園區","房地(土地+建物)","中山路1290巷1~30號","72.64","都市：其他:第二種住宅區","","","1091118","土地2建物1車位0","全","二層","透天厝","住家用","加強磚造","0640819","56.76","3","2","2","有","無","9500000","167371","","0.0","0","親友、員工、共有人或其他特殊關係間之交易;","RPUNMLMLJHGGFAH77EA","56.76","0.0","0.0","無",""
"桃園區","房地(土地+建物)","三和街1~30號","75.5","都市：其他:住宅區","","","1091118","土地2建物2車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0640118","177.44","0","0","0","無","無","6660000","37534","","0.0","0","","RPRQMLLJKHGGFAH57EA","177.44","0.0","0.0","無",""
"桃園區","房地(土地+建物)","大同路151~180號","91.0","都市：其他:住宅區","","","1091211","土地2建物1車位0","全","二層","透天厝","住商用","加強磚造","0500330","181.44","5","3","3","有","無","12000000","66138","","0.0","0","未登記建物;","RPSQMLLJKHGGFAH67EA","181.44","0.0","0.0","無",""
"桃園區","房地(土地+建物)+車位","經國路271~300號","22.94","都市：其他:住宅區","","","1100114","土地1建物1車位1","八層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0890304","242.26","3","2","3","有","有","16080000","66375","坡道平面","0.0","0","","RPTQMLLJKHGGFAH77EA","138.62","0.0","22.12","有","210.0"
"桃園區","房地(土地+建物)","天祥七街91~120號","17.91","都市：其他:住宅區","","","1100115","土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0840927","94.03","3","2","2","有","有","5550000","59024","","0.0","0","","RPUQMLLJKHGGFAH87EA","78.84","0.0","7.16","有","211.0"
"中壢區","土地","興南段中壢老小段211~240地號","4.71","都市：其他:道路用地","","","1100121","土地1建物0車位0","","","其他","","","","0.0","0","0","0","有","無","300000","63694","","0.0","0","","RPSPMLLJKHGGFBH67EA","0.0","0.0","0.0","無","212.0"
"中壢區","房地(土地+建物)+車位","領航北路二段151~180號","42.47","都市：其他:住宅區","","","1100103","土地1建物1車位2","十七層","十九層","住宅大樓(11層含以上有電梯)","見其他登記事項","鋼筋混凝土造","1040413","303.21000000000004","4","2","3","有","有","23360000","86766","坡道平面","70.86","3200000","","RPQQMLLJKHGGFBH57EA","146.85","3.71","12.15","有","213.0"
"觀音區","土地","茄苳坑段兩座屋小段841~870地號","2471.0","","特定農業區","農牧用地","1091006","土地1建物0車位0","","","其他","","","","0.0","0","0","0","有","無","8222200","3327","","0.0","0","農作物;","RPSQMLLJKHGGFBH77EA","0.0","0.0","0.0","無","214.0"
"中壢區","房地(土地+建物)","興仁路二段463巷1~30號","17.04","都市：其他:住宅區","","","1100122","土地1建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0821124","88.39999999999999","3","2","1","有","有","4600000","52036","","0.0","0","","RPQPMLLJKHGGFBH47EA","63.61","0.33","9.8","有","215.0"
"中壢區","土地","三座屋段三座屋小段631~660地號","160.76","都市：其他:道路用地","","","1091118","土地1建物0車位0","","","其他","","","","0.0","0","0","0","有","無","3465609","21558","","0.0","0","包含公共設施保留地用地;","RPSNMLLJKHGGFBH47EA","0.0","0.0","0.0","無","216.0"
"楊梅區","房地(土地+建物)","員本路525巷1~30號","139.17","","特定農業區","甲種建築用地","1100118","土地2建物1車位0","全","三層","透天厝","見其他登記事項","鋼筋混凝土造","1090831","196.37","4","2","3","有","無","9500000","48378","","0.0","0","","RPXNMLTLJHGGFDH09EA","183.86","0.0","12.51","無",""
"楊梅區","房地(土地+建物)","員本路525巷1~30號","106.37","","特定農業區","甲種建築用地","1100120","土地2建物1車位0","全","三層","透天厝","見其他登記事項","鋼筋混凝土造","1090831","182.82","4","2","3","有","無","8800000","48135","","0.0","0","","RPOOMLTLJHGGFDH28EA","169.82","0.0","13.0","無",""
"楊梅區","房地(土地+建物)+車位","中山北路一段199巷1~30號","260.41","都市：其他:乙種工業區","","","1091207","土地6建物4車位9","八層","十一層","住宅大樓(11層含以上有電梯)","見其他登記事項","鋼筋混凝土造","1080910","1767.17","0","0","0","無","有","94549550","55963","坡道平面","238.5","9000000","","RPOOMLLJKHGGFDH37EA","936.2","50.34","0.0","有",""
"楊梅區","房地(土地+建物)","新農街379巷47弄1~30號","72.68","都市：其他:住宅區","","","1091120","土地2建物1車位0","全","四層","透天厝","見其他登記事項","鋼筋混凝土造","0930407","182.46","5","2","4","有","無","10800000","59191","","0.0","0","親友、員工、共有人或其他特殊關係間之交易;","RPROMLLJKHGGFDH67EA","151.8","3.58","27.08","無",""
